                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.47381,                0.98196,                 1.0437,                0.95811,                      1,                  0.995,                0.96204,                0.32754,                  2.426,                0.93649,              0.0002149,              0.0002149,              0.0002149
                     37,                0.38794,                 1.0009,                0.95973,                0.94991,                      1,                  0.995,                0.92907,                0.36665,                 2.3359,                 1.0864,             0.00020678,             0.00020678,             0.00020678
                     38,                 0.3519,                0.98696,                0.94112,                0.94991,                      1,                  0.995,                0.92907,                0.36665,                 2.3359,                 1.0864,             0.00019788,             0.00019788,             0.00019788
                     39,                0.42784,                0.99628,                0.93069,                0.96543,                      1,                  0.995,                0.92907,                0.36491,                 2.2115,                 1.0597,             0.00018818,             0.00018818,             0.00018818
                     40,                0.34449,                 1.0023,                0.92842,                0.96543,                      1,                  0.995,                0.92907,                0.36491,                 2.2115,                 1.0597,             0.00017768,             0.00017768,             0.00017768
                     41,                0.33462,                 1.4099,                0.92113,                      1,                 0.9878,                  0.995,                0.96204,                0.33677,                 2.1977,                0.90123,              0.0001664,              0.0001664,              0.0001664
                     42,                0.34604,                 1.3312,                0.85221,                      1,                 0.9878,                  0.995,                0.96204,                0.33677,                 2.1977,                0.90123,             0.00015432,             0.00015432,             0.00015432
                     43,                0.29915,                 1.3174,                0.90266,                      1,                0.97492,                  0.995,                0.95104,                0.28467,                 2.1271,                0.81493,             0.00014146,             0.00014146,             0.00014146
                     44,                0.29348,                 1.3259,                0.81662,                      1,                0.97492,                  0.995,                0.95104,                0.28467,                 2.1271,                0.81493,              0.0001278,              0.0001278,              0.0001278
                     45,                0.31664,                 1.4482,                 0.9305,                      1,                 0.9773,                  0.995,                0.95104,                0.26872,                 2.0543,                 0.8071,             0.00011334,             0.00011334,             0.00011334
                     46,                0.32289,                  1.359,                0.93422,                      1,                 0.9773,                  0.995,                0.95104,                0.26872,                 2.0543,                 0.8071,               9.81e-05,               9.81e-05,               9.81e-05
                     47,                0.27101,                 1.2894,                0.85876,                      1,                 0.9799,                  0.995,                  0.995,                0.25292,                 2.0234,                0.80078,             8.2064e-05,             8.2064e-05,             8.2064e-05
                     48,                 0.2485,                 1.2958,                0.88194,                      1,                 0.9799,                  0.995,                  0.995,                0.25292,                 2.0234,                0.80078,             6.5236e-05,             6.5236e-05,             6.5236e-05
                     49,                0.26241,                 1.3273,                0.83712,                      1,                0.98427,                  0.995,                  0.995,                0.24167,                 1.9893,                0.79742,             4.7616e-05,             4.7616e-05,             4.7616e-05
                     50,                0.23437,                 1.2073,                0.76663,                      1,                0.98427,                  0.995,                  0.995,                0.24167,                 1.9893,                0.79742,             2.9204e-05,             2.9204e-05,             2.9204e-05
